lycode,pcode,name,status,oldname
01105,N0000003,行政院勞工委員會職業訓練局職業訓練中心組織通則,中華民國104年6月9日廢止,內政部職業訓練局職業訓練中心組織通則
01106,D0080005,省警務處組織法,中華民國91年5月17日廢止,
01107,D0080006,省保安警察隊組織條例,中華民國91年5月17日廢止,
01108,D0000022,中央警察大學組織條例,中華民國84年12月12日全文修正,中央警官學校組織條例
01109,D0000031,各省市警察學校組織通則,中華民國91年4月25日廢止,
01110,D0020020,中華民國國徽國旗法,中華民國43年10月12日全文修正,
01111,A0030004,褒揚條例,中華民國75年11月18日全文修正,
01112,,褒揚抗戰忠烈條例,中華民國75年11月18日廢止,
01113,D0020023,國葬法,中華民國37年11月9日全文修正,
01114,D0020024,公葬條例,中華民國106年4月11日廢止,
01115,D0020034,墳墓設置管理條例,中華民國91年6月14日廢止,
01116,D0020027,監督寺廟條例,中華民國18年11月30日制定,
01117,D0070105,國家公園法,中華民國99年11月12日修正,
01118,A0030019,請願法,中華民國58年12月5日全文修正,
01119,D0030006,戶籍法,中華民國104年1月6日修正,
01120,D0030014,戶口普查法,中華民國88年4月20日廢止,
01121,D0030001,國籍法,中華民國105年12月9日修正,
01122,D0030002,國籍法施行條例,中華民國91年5月10日廢止,
01123,D0030011,姓名條例,中華民國104年5月5日全文修正,
01124,D0050091,人民團體法,中華民國100年5月27日修正,動員戡亂時期人民團體法;非常時期人民團體組織法
01125,D0050002,兒童福利法,中華民國93年5月21日廢止,
01126,D0050037,老人福利法,中華民國109年5月12日修正,
01127,D0050046,身心障礙者權益保障法,中華民國104年12月1日修正,身心障礙者保護法;殘障福利法
01128,D0050078,社會救助法,中華民國104年12月11日修正,
01129,N0090020,職業介紹法,中華民國81年4月17日廢止,
01130,M0090001,農會法,中華民國105年11月15日修正,
01131,M0050026,漁會法,中華民國105年11月15日修正,
01132,N0020001,工會法,中華民國105年11月1日修正,
01133,D0050103,工業團體法,中華民國107年11月20日修正,
01134,D0050100,商業團體法,中華民國104年1月23日修正,
01135,D0050108,教育會法,中華民國103年10月24日修正,
01136,D0050112,合作社法,中華民國104年5月19日修正,
01137,D0050098,中華民國紅十字會法,中華民國105年7月12日廢止,
01139,N0030001,勞動基準法,中華民國109年5月22日修正,
01140,N0030007,工廠法,中華民國107年11月6日廢止,
01141,N0070001,勞動檢查法,中華民國109年5月22日修正,工廠檢查法
01142,N0060001,職業安全衛生法,中華民國108年4月26日修正,勞工安全衛生法
01143,N0020007,勞資爭議處理法,中華民國105年12月30日修正,
01144,N0020006,團體協約法,中華民國104年6月15日修正,
01145,,最低工資法,中華民國75年11月21日廢止,
01146,N0030010,勞動契約法,中華民國25年12月11日制定,
01147,N0040001,職工福利金條例,中華民國104年6月15日修正,
01148,N0050001,勞工保險條例,中華民國104年6月15日修正,
01150,D0060001,土地法,中華民國100年5月27日修正,
01151,D0060002,土地法施行法,中華民國100年5月27日修正,
01152,D0060008,耕地三七五減租條例,中華民國91年4月25日修正,
