name,lycode
行政院組織法,01010
內政部組織法,01011
外交部組織法,01013
國防部組織法,01014
財政部組織法,01015
教育部組織法,01017
法務部組織法,01018
經濟部組織法,01019
交通部組織法,01020
蒙藏委員會組織法,01021
僑務委員會組織法,01022
行政院主計處組織法,01023
行政院新聞局組織條例,01024
行政院衛生署組織法,01025
行政院國軍退除役官兵輔導委員會組織條例,01026
行政院原子能委員會組織條例,01027
行政院國家科學委員會組織條例,01028
行政院文化建設委員會組織條例,01029
行政院青年輔導委員會組織條例,01030
行政院農業委員會組織條例,01031
行政院經濟建設委員會組織條例,01032
行政院人事行政局組織條例,01033
行政院研究發展考核委員會組織條例,01034
國立故宮博物院組織法,01035
國立故宮博物院組織條例,01035
行政院勞工委員會組織條例,01036
行政院環境保護署組織條例,01037
國防工業發展基金設置條例,01038
行政院大陸委員會組織條例,01039
行政院公共工程委員會組織條例,01040
行政院公平交易委員會組織條例,01041
國防法,01042
行政院原住民族委員會組織條例,01046
行政院原住民委員會組織條例,01046
法務部廉政署組織法,01047
行政院體育委員會組織條例,01049
中央行政機關組織基準法,01050
中央政府機關總員額法,01051
行政院客家委員會組織條例,01054
行政院原住民族委員會文化園區管理局組織條例,01056
行政院人事行政局地方行政研習中心組織條例,01057
檔案管理局組織條例,01059
中央選舉委員會組織法,01060
行政院功能業務與組織調整暫行條例,01061
行政院農業委員會農業金融局組織條例,01062
國家通訊傳播委員會組織法,01063
國家運輸安全調查委員會組織法,01065
飛航安全調查委員會組織法,01065
國際機場園區發展條例,01070
客家委員會組織法,01071
大陸委員會組織法,01073
國軍退除役官兵輔導委員會組織法,01074
原住民族委員會組織法,01076
原住民族委員會原住民族文化發展中心組織法,01077
行政院人事行政總處組織法,01078
行政院人事行政總處公務人力發展中心組織法,01079
行政院人事行政總處地方行政研習中心組織法,01080
榮民總醫院組織通則,01081
行政院主計總處組織法,01082
國家發展委員會組織法,01083
國家發展委員會檔案管理局組織法,01084
國家災害防救科技中心設置條例,01085
國家表演藝術中心設置條例,01086
駐外機構組織通則,01087
海洋委員會組織法,01088
海洋委員會海巡署組織法,01089
文化部組織法,01090
文化部影視及流行音樂產業局組織法,01091
國立國父紀念館組織法,01092
國立中正紀念堂管理處組織法,01093
國立歷史博物館組織法,01094
國立臺灣美術館組織法,01095
國立臺灣工藝研究發展中心組織法,01096
國立臺灣博物館組織法,01097
公平交易委員會組織法,01098
內政部警政署組織條例,01101
內政部營建署組織條例,01102
國家公園管理處組織通則,01103
行政院勞工委員會職業訓練局組織條例,01104
行政院勞工委員會職業訓練局職業訓練中心組織通則,01105
內政部職業訓練局職業訓練中心組織通則,01105
省警務處組織法,01106
省保安警察隊組織條例,01107
中央警察大學組織條例,01108
中央警官學校組織條例,01108
各省市警察學校組織通則,01109
中華民國國徽國旗法,01110
褒揚條例,01111
國葬法,01113
公葬條例,01114
墳墓設置管理條例,01115
監督寺廟條例,01116
國家公園法,01117
請願法,01118
戶籍法,01119
戶口普查法,01120
國籍法,01121
國籍法施行條例,01122
姓名條例,01123
人民團體法,01124
動員戡亂時期人民團體法,01124
非常時期人民團體組織法,01124
兒童福利法,01125
老人福利法,01126
身心障礙者權益保障法,01127
身心障礙者保護法,01127
殘障福利法,01127
社會救助法,01128
職業介紹法,01129
農會法,01130
漁會法,01131
工會法,01132
工業團體法,01133
商業團體法,01134
教育會法,01135
合作社法,01136
中華民國紅十字會法,01137
勞動基準法,01139
工廠法,01140
勞動檢查法,01141
工廠檢查法,01141
職業安全衛生法,01142
勞工安全衛生法,01142
勞資爭議處理法,01143
團體協約法,01144
勞動契約法,01146
職工福利金條例,01147
勞工保險條例,01148
土地法,01150
土地法施行法,01151
耕地三七五減租條例,01152
實施耕者有其田條例,01153
平均地權條例,01154
實施都市平均地權條例,01154
農地重劃條例,01155
區域計畫法,01156
水陸地圖審查條例,01157
建築法,01158
建築師法,01159
國民住宅條例,01160
都市計畫法,01161
市區道路條例,01162
工程受益費徵收條例,01163
自來水法,01164
下水道法,01165
警察法,01166
警察人員人事條例,01167
警察人員管理條例,01167
警察教育條例,01168
警察服制條例,01169
警察勤務條例,01170
警械使用條例,01171
違警罰法,01172
警察獎章條例,01173
自衛槍枝管理條例,01174
槍砲彈藥刀械管制條例,01175
著作權法,01176
公職人員選舉罷免法,01177
動員戡亂時期公職人員選舉罷免法,01177
消防法,01178
少年福利法,01179
消費者保護法,01180
農民健康保險條例,01181
社會秩序維護法,01183
營造業法,01186
公寓大廈管理條例,01187
全民健康保險法,01189
都市更新條例,01191
保全業法,01192
新市鎮開發條例,01194
都市危險及老舊建築物加速重建條例,01195
集會遊行法,01199
政黨法,01201
臺灣警察專科學校組織條例,01202
入出國及移民法,01203
第一屆資深中央民意代表自願退職條例,01204
不動產經紀業管理條例,01206
租賃住宅市場發展及管理條例,01207
民防法,01208
內政部警政署保安警察總隊組織通則,01209
中華民國領海及鄰接區法,01210
原住民族語言發展法,01211
原住民族基本法,01212
行政院海岸巡防署組織法,01215
海岸管理法,01216
政治獻金法,01218
內政部警政署國家公園警察大隊組織條例,01220
內政部警政署刑事警察局組織條例,01221
內政部警政署國道公路警察局組織條例,01222
二二八事件處理及賠償條例,01224
二二八事件處理及補償條例,01224
原住民身分法,01227
社會工作師法,01228
土地徵收條例,01229
國民年金法,01230
國家風景區管理處組織通則,01231
農村社區土地重劃條例,01232
老年農民福利津貼暫行條例,01233
兒童及少年性剝削防制條例,01234
兒童及少年性交易防制條例,01234
離島建設條例,01235
內政部消防署組織條例,01236
性侵害犯罪防治法,01237
內政部建築研究所組織條例,01239
敬老福利生活津貼暫行條例,01240
著作權集體管理團體條例,01242
著作權仲介團體條例,01242
災害防救法,01248
共同管道法,01249
內政部兒童局組織條例,01250
內政部警政署航空警察局組織條例,01251
內政部警政署警察電訊所組織條例,01252
家庭暴力防治法,01253
國土計畫法,01254
刑事案件確定後去氧核醣核酸鑑定條例,01255
去氧核醣核酸採樣條例,01256
內政部警政署水上警察局組織條例,01257
花東地區發展條例,01258
內政部移民署組織法,01260
內政部入出國及移民署組織法,01260
中華民國專屬經濟海域及大陸礁層法,01263
地籍清理條例,01266
地政士法,01269
公益勸募條例,01274
性騷擾防治法,01275
海岸巡防法,01277
行政院海岸巡防署海洋巡防總局組織條例,01279
行政院海岸巡防署海岸巡防總局各地區巡防局組織通則,01280
行政院海岸巡防署海岸巡防總局組織條例,01281
特殊境遇家庭扶助條例,01282
特殊境遇婦女家庭扶助條例,01282
內政部役政署組織條例,01286
志願服務法,01287
住宅法,01290
警察刑事紀錄證明核發條例,01294
當舖業法,01295
內政部消防署港務消防隊組織通則,01296
駐外使領館組織條例,01301
外交部外交領事人員講習所組織條例,01302
護照條例,01303
出國護照條例,01303
引渡法,01304
駐華外國機構及其人員特權暨豁免條例,01306
外交部領事事務局組織條例,01307
外交部外交及國際事務學院組織法,01308
條約締結法,01309
外國護照簽證條例,01311
外交部及駐外館處文件證明條例,01313
外交部領事事務局組織法,01314
國防部參謀本部組織條例,01401
國防部參謀本部組織法,01401
後備軍人會組織通則,01402
陸海空軍軍官服役條例,01403
陸海空軍士官服役條例,01404
志願士兵服役條例,01405
陸海空軍軍官士官任官條例,01406
陸海空軍軍官士官任職條例,01407
陸海空軍軍官士官考績條例,01408
軍人保險條例,01409
陸海空軍軍人保險條例,01409
陸海空軍勳賞條例,01410
陸海空軍獎勵條例,01411
空軍勛獎條例,01412
